PlayerName,Challenge,Score,AvgTime,MMRBefore,MMRAfter,Timestamp
Alice,BigNumberAddition,350,4.52,1200,1230,2025-05-24 18:35:22
Player1,Multiplication,200,63884230000.00,500,508,2025-05-30 16:36:41
Player1,Subtraction,200,63884220000.00,508,524,2025-05-30 16:39:50
Player1,Subtraction,200,63884230000.00,524,539,2025-05-30 18:13:19
Player1,Negative Numbers,300,63884230000.00,539,549,2025-05-30 18:28:15
Player1,Subtraction,200,63884220000.00,549,563,2025-05-30 18:34:50
Player1,Subtraction,200,63884220000.00,563,576,2025-05-30 18:38:45
Player1,Subtraction,200,63884220000.00,576,589,2025-05-30 18:43:54
Player1,Subtraction,200,63884220000.00,589,601,2025-05-30 18:46:39
Player1,Subtraction,100,63884220000.00,601,612,2025-05-30 18:50:52
Player1,Subtraction,100,63884220000.00,612,623,2025-05-30 18:55:30
Player1,Subtraction,100,63884230000.00,623,634,2025-05-30 19:05:19
Player1,Subtraction,100,63884250000.00,634,644,2025-05-31 01:01:48
Player1,Subtraction,100,63884250000.00,644,654,2025-05-31 01:04:29
Player1,Subtraction,100,63884250000.00,644,654,2025-05-31 01:04:50
Player1,Multiplication,200,63884250000.00,644,648,2025-05-31 01:05:28
Player2,Subtraction,100,63884250000.00,200,227,2025-05-31 01:09:08
Player2,Big Number Addition,400,63884280000.00,227,242,2025-05-31 09:22:45
Player1,Negative Numbers,300,63884300000.00,648,654,2025-05-31 15:57:18
Player1,Big Number Addition,400,63884310000.00,648,650,2025-05-31 15:57:58
Player1,Subtraction,100,63884310000.00,650,659,2025-05-31 18:07:14
Player1,Negative Numbers,300,63884300000.00,650,656,2025-05-31 18:07:54
Player1,Subtraction,100,63884310000.00,656,665,2025-05-31 18:12:44
Player1,Multiplication,200,63884300000.00,656,660,2025-05-31 18:13:29
Player1,Subtraction,100,63884310000.00,660,669,2025-05-31 18:34:18
Player1,Subtraction,100,63884310000.00,669,678,2025-05-31 18:34:25
Player1,Subtraction,100,63884310000.00,678,686,2025-05-31 18:34:28
Player1,Negative Numbers,300,63884300000.00,686,691,2025-05-31 18:36:46
Player1,Negative Numbers,300,63884300000.00,691,696,2025-05-31 18:36:49
Player1,Negative Numbers,300,63884300000.00,696,701,2025-05-31 18:36:50
Player1,Negative Numbers,300,63884300000.00,701,706,2025-05-31 18:36:51
Player1,Negative Numbers,300,63884300000.00,706,711,2025-05-31 18:36:53
Player1,Negative Numbers,300,63884300000.00,711,716,2025-05-31 18:36:55
Player1,Subtraction,100,63884310000.00,716,723,2025-05-31 18:41:36
Player2,Subtraction,100,63884310000.00,242,268,2025-05-31 18:46:34
Player2,Subtraction,100,63884310000.00,268,293,2025-05-31 18:47:02
Player2,Subtraction,100,63884320000.00,293,318,2025-05-31 19:06:28
Player2,Subtraction,100,63884320000.00,318,342,2025-05-31 19:06:36
